date,0,3,5,7,8,11,12,13,14,16,18,19,20,22,23,24,25,28,29,30,31,32,33,34,35,36,37,38,39,41,43,44,45,46,47,48,49,50,53,54,55,56,57,59,60,61,63,64,65,66,67,68,69,70,71,73,74,75,76,77,78,82,83,84,89,93,94,95,96,97,98,99,100,101,102,104,105,107,108,112,113,118,119,120,121,122,123,124,137,138,143,144,145,146,147,148,154,157,158,166,168,170,174,179,180,182,184,185,188,189,191,195,198,202,203,205,206,208,210,211
2015-07-01,60,43,23,66,28,65,55,44,57,48,58,55,48,37,34,35,33,36,49,21,20,21,34,63,37,42,78,63,38,23,18,76,43,61,54,69,32,38,18,39,31,55,20,59,29,63,50,62,59,67,58,69,40,34,52,68,34,58,48,42,23,23,22,27,52,79,56,59,28,49,56,19,14,33,44,22,13,45,44,36,40,43,81,48,45,42,49,58,50,70,66,69,61,66,46,37,31,41,67,55,39,71,32,45,44,33,54,53,32,41,12,70,58,46,53,51,47,72,25,44
2015-08-01,69,42,23,58,27,60,50,40,52,45,53,49,47,35,32,34,29,33,45,22,17,21,34,61,35,42,67,53,39,22,17,69,40,59,51,54,29,34,16,34,31,54,18,58,26,59,50,64,54,71,56,61,36,30,53,62,26,49,43,38,22,21,19,24,45,67,60,61,24,43,41,18,12,32,45,21,14,42,41,38,39,56,87,50,42,42,52,55,48,61,61,63,63,70,24,38,28,33,61,53,32,63,31,46,37,35,56,47,30,39,12,68,56,43,51,43,43,71,26,43
2015-09-01,64,44,25,65,27,64,59,46,60,43,57,60,51,42,43,40,42,46,43,24,22,24,35,58,38,45,71,66,37,22,19,73,47,61,53,68,43,38,18,47,28,57,28,62,37,63,37,70,49,62,46,67,41,32,55,63,46,62,54,45,22,33,27,32,45,61,66,70,28,50,48,20,13,35,41,23,13,50,59,42,36,40,56,53,44,45,46,55,53,65,66,77,64,66,26,34,28,47,66,59,38,68,42,39,41,40,50,56,29,59,11,72,57,44,48,41,32,51,26,42
2015-10-01,62,49,26,65,30,65,58,44,59,40,59,57,48,45,46,40,39,48,40,24,22,24,41,66,39,48,72,67,41,22,20,74,48,64,52,70,43,38,18,45,28,55,30,62,35,63,27,65,51,64,45,72,43,33,62,72,37,63,50,46,23,34,30,32,48,61,55,70,25,61,52,23,11,33,40,21,14,48,58,45,38,28,57,57,45,54,44,56,58,65,68,75,61,68,22,36,32,45,73,58,36,69,39,38,44,41,51,58,31,44,11,71,55,54,45,38,31,48,30,44
2015-11-01,67,48,27,64,31,65,60,45,63,47,64,67,44,46,51,43,43,49,39,25,23,24,40,66,41,47,72,65,42,23,20,76,47,61,50,68,45,37,18,49,29,60,40,71,35,61,26,56,53,63,42,73,48,42,62,85,44,66,68,46,26,35,32,31,50,62,55,69,25,57,50,37,11,34,43,22,13,50,65,61,38,29,55,69,54,53,44,71,61,60,73,78,61,68,22,34,31,44,67,100,40,62,41,35,39,44,55,55,28,42,11,74,60,52,44,35,24,46,32,44
2015-12-01,72,49,27,65,31,64,57,45,60,43,70,57,43,44,60,43,39,45,36,25,21,24,39,75,42,43,73,67,41,26,21,89,45,57,48,62,40,37,15,45,28,54,42,66,30,56,22,42,60,66,43,82,52,64,73,86,35,58,53,45,31,38,26,27,46,70,52,62,22,57,50,65,20,34,40,22,13,46,56,47,38,26,61,82,59,66,52,90,59,59,89,79,68,83,22,34,34,39,59,59,38,58,38,34,25,49,58,57,30,38,11,73,66,52,41,36,26,50,35,45
2016-01-01,67,48,27,70,30,71,61,43,66,44,63,62,49,50,49,46,45,51,47,26,25,24,39,75,46,44,80,67,41,24,24,82,52,60,54,77,46,37,19,51,31,61,33,72,43,56,35,45,53,67,50,85,44,35,63,73,46,70,56,48,27,35,33,33,51,74,68,70,28,62,60,24,15,41,48,22,14,52,64,42,38,28,60,65,43,53,51,70,63,69,77,66,73,74,23,59,33,49,73,70,42,71,42,46,32,44,57,63,31,49,11,82,71,55,51,43,38,62,30,39
2016-02-01,63,49,25,68,30,67,62,43,65,44,55,60,48,46,46,43,43,47,49,24,25,23,40,69,40,44,76,62,43,25,23,83,51,64,56,76,46,35,19,50,31,60,28,71,43,55,35,49,52,69,53,67,40,39,63,61,40,71,55,48,25,37,33,36,49,74,63,70,29,70,52,25,13,39,45,20,14,53,60,40,38,31,62,61,38,54,52,59,62,71,78,76,76,76,26,36,34,47,73,65,42,72,41,46,32,41,55,53,30,48,11,81,64,53,50,41,37,62,27,38
2016-03-01,60,47,25,67,29,68,63,42,66,44,55,63,49,45,43,44,43,52,49,23,26,23,37,66,40,45,76,62,42,22,22,83,52,69,56,75,48,38,19,57,30,61,43,74,43,56,32,61,55,68,53,65,38,37,61,68,46,72,60,48,24,34,34,35,49,73,64,64,30,68,52,21,15,39,45,20,13,54,63,42,39,30,66,59,41,52,50,57,58,72,79,83,72,74,27,39,32,46,75,76,41,73,42,50,39,39,51,52,29,46,11,76,62,53,53,44,38,59,26,36
2016-04-01,55,45,24,66,28,68,59,40,64,44,55,57,52,45,41,41,39,45,49,21,24,21,36,62,40,43,73,59,40,22,21,81,50,69,55,73,44,35,17,50,29,59,30,71,38,51,41,76,53,71,50,68,36,36,59,63,36,69,54,45,24,32,34,33,48,76,62,61,30,75,51,20,12,36,43,20,13,53,57,37,38,34,73,57,38,49,48,55,55,70,76,80,68,82,26,39,31,45,70,62,39,73,38,45,47,38,49,51,31,46,11,76,64,50,50,44,37,61,26,36
